Year,Month,Flu_Deaths,All_Deaths,Deaths_Age_Group_Under_1,Deaths_Age_Group_1_to_24,Deaths_Age_Group_25_to_44,Deaths_Age_Group_45_to_64,Deaths_Age_Group_Above_65
2012,Jan,2655.0,35458.0,777.5144127155172,923.8264690548892,2201.359251476033,8293.0,23690.0
2012,Jul,2170.0,35683.0,694.0,921.0,2236.0,8708.0,23113.0
2012,Jun,2449.0,39575.0,753.0,937.0,2532.0,9493.0,25827.0
2012,Mar,2928.0,38587.0,881.5452436542145,1048.3929395993148,2472.600920644451,9124.517972414758,25462.0
2012,May,2151.0,32382.0,746.6608596743295,808.6126461607208,2045.2638847193034,7821.0,21227.0
2012,Nov,2410.0,36411.0,672.0,768.0,2137.0,8487.0,24313.0
2012,Oct,2410.0,38574.0,709.0,830.0,2299.0,9171.0,25621.281027562964
2012,Sep,2239.0,36712.0,693.0,806.0,2182.0,8945.0,24076.0
2013,Apr,2564.0,37235.0,631.0,728.0,2076.0,8928.0,24835.0
2013,Aug,2132.0,36258.0,705.0,868.0,2284.0,8866.0,23525.0
2013,Dec,2298.0,35957.0,567.0,694.0,2063.0,8717.0,23901.0
2013,Feb,3023.0,34818.0,538.0,610.0,1852.0,7958.0,23803.0
2013,Jan,2797.0,31416.0,452.0,635.0,1672.0,7114.0,21529.0
2013,Jul,2207.0,37975.0,713.0,920.0,2396.0,9306.0,24612.0
2013,Jun,2177.0,36247.0,657.0,808.0,2173.0,8820.0,23777.0
2013,Mar,2754.0,36062.0,601.0,706.0,1981.0,8438.0,24321.0
2013,May,2239.0,34541.0,643.0,756.0,2019.0,8271.0,22833.0
2013,Nov,2077.0,35637.0,607.0,707.0,2159.0,8470.0,23680.0
2013,Oct,2300.0,39024.0,764.0,789.0,2359.0,9203.0,25898.0
2013,Sep,2200.0,37287.0,665.0,871.0,2336.0,8839.0,24560.0
2014,Apr,2400.0,36264.0,646.0,772.0,2051.0,8683.0,24102.0
2014,Aug,2125.0,37767.0,695.0,831.0,2319.0,9314.0,24589.0
2014,Dec,2376.0,36801.0,615.0,724.0,2171.0,8446.0,24810.0
2014,Feb,2859.0,33723.0,540.0,649.0,1894.0,8241.0,22356.0
2014,Jan,2909.0,36375.0,544.0,700.0,2115.0,8704.0,24298.0
2014,Jul,2244.0,38549.0,702.0,832.0,2470.0,9164.0,25330.0
2014,Jun,2001.0,35710.0,669.0,743.0,2303.0,8558.0,23428.0
2014,Mar,2709.0,36552.0,672.0,754.0,2180.0,8766.0,24164.0
2014,May,2416.0,38126.0,711.0,775.0,2288.0,9067.0,25210.0
2014,Nov,2110.0,36749.0,635.0,724.0,2194.0,8676.0,24496.0
2014,Oct,2185.0,38946.0,724.0,787.0,2416.0,9338.0,25672.0
2014,Sep,2209.0,39420.0,745.0,860.0,2388.0,9431.0,25969.0
2015,Apr,2468.0,37351.0,676.0,743.0,2208.0,8660.0,25018.0
2015,Aug,2128.0,37434.0,687.0,871.0,2403.0,9068.0,24381.0
2015,Dec,2116.0,36039.0,697.0,758.0,2189.0,8441.0,23946.0
2015,Feb,2684.0,34073.0,491.0,664.0,1806.0,7785.0,23320.0
2015,Jan,3536.0,40242.0,622.0,773.0,2334.0,9107.0,27323.0
2015,Jul,1948.0,35027.0,675.0,807.0,2369.0,8382.0,22781.0
2015,Jun,2178.0,36094.0,637.0,876.0,2349.0,8632.0,23591.0
2015,Mar,2944.0,39344.0,630.0,785.0,2272.0,9122.0,26487.0
2015,May,2273.0,34528.0,634.0,805.0,2217.0,8049.0,22811.0
2015,Nov,1867.0,32546.0,563.0,741.0,2044.0,7681.0,21452.0
2015,Oct,1996.0,33653.0,634.0,718.0,2248.0,8118.0,21922.0
2015,Sep,1813.0,33648.0,648.0,789.0,2303.0,8052.0,21814.0
2016,Apr,2682.0,35138.0,609.0,735.0,2264.0,8282.0,23175.0
2016,Aug,1797.0,33742.0,643.0,808.0,2316.0,8052.0,21911.0
2016,Feb,2380.0,33881.0,540.0,716.0,2077.0,7890.0,22652.0
2016,Jan,2382.0,34568.0,602.0,681.0,2060.0,8033.0,23165.0
2016,Jul,1815.0,32415.0,572.0,743.0,2335.0,7791.0,20949.0
2016,Jun,1992.0,34138.0,607.0,807.0,2280.0,8053.0,22379.0
2016,Mar,2490.0,33396.0,507.0,674.0,2082.0,7929.0,22195.0
2016,May,2343.0,35509.0,633.0,799.0,2378.0,8492.0,23197.0
2016,Oct,631.0,11094.0,190.0,236.0,767.0,2453.0,7443.0
2016,Sep,1807.0,33184.0,574.0,793.0,2348.0,7839.0,21619.0
